(67.5, 120.0)
(67.5, 120.0)
(67.5, 120.0)
(67.5, 120.0)
(94.15, 127.7)
(118.135, 134.63)
(139.7215, 140.867)
(159.14935, 146.5803)
(176.634415, 151.72226999999998)
(192.3709735, 156.35004299999997)
(206.53387615, 160.51503869999996)
(219.280488535, 164.26353482999997)
(230.7524396815, 167.63718134699997)
(241.17719571335, 170.77346321229996)
(250.559476142015, 173.59611689106995)
(259.0035285278135, 176.13650520196296)
(266.60317567503216, 178.42285468176667)
(273.34285810752897, 180.08056921359)
(279.4085722967761, 181.572512292231)
(284.86771506709846, 182.9152610630079)
(289.7809435603886, 184.12373495670712)
(294.10284920434975, 185.1113614610364)
(297.99256428391476, 186.00022531493278)
(301.4933078555233, 186.8002027834395)
(304.64397706997096, 187.52018250509553)
(307.2795793629739, 188.16816425458597)
(309.6516214266765, 188.75134782912738)
(311.78645928400886, 189.27621304621465)
(313.707813355608, 189.74859174159317)
(315.5370320200472, 190.27373256743385)
(317.18332881804247, 190.74635931069048)
(318.6649959362382, 191.17172337962143)
(319.9984963426144, 191.5545510416593)
(320.9986467083529, 191.99909593749337)
(321.8987820375176, 192.39918634374402)
(322.7089038337658, 192.75926770936962)
(323.43801345038924, 193.08334093843266)
(324.0942121053503, 193.3750068445894)
(324.7847908948153, 193.53750616013045)
(325.40631180533376, 193.6837555441174)
(325.96568062480037, 193.81537998970566)
(326.46911256232033, 193.9338419907351)
(326.9222013060883, 194.1404577916616)
(327.3299811754795, 194.32641201249544)
(327.6969830579315, 194.4937708112459)
(328.02728475213837, 194.6443937301213)
(328.42455627692453, 194.77995435710918)
(328.78210064923206, 194.90195892139826)
(329.10389058430883, 195.01176302925845)
(329.3935015258779, 195.1105867263326)
(329.55415137329015, 194.99952805369935)
(329.6987362359611, 194.89957524832943)
(329.828862612365, 194.80961772349647)
(329.94597635112854, 194.72865595114683)
(330.0513787160157, 194.65579035603216)
(330.3462408444141, 194.79021132042894)
(330.6116167599727, 194.91119018838606)
(330.8504550839755, 195.02007116954746)
(331.0654095755779, 195.11806405259273)
(331.25886861802013, 195.20625764733344)
(331.4329817562181, 195.28563188260011)
(331.58968358059633, 195.35706869434011)
(331.8307152225367, 195.5213618249061)
(332.047643700283, 195.66922564241548)
(332.2428793302547, 195.80230307817394)
(332.71859139722926, 196.12207277035654)
(333.14673225750636, 196.4098654933209)
(333.5320590317557, 196.6688789439888)
(333.7788531285801, 196.70199104958994)
(334.0009678157221, 196.73179194463094)
(334.2008710341499, 196.75861275016786)
(334.3807839307349, 196.78275147515106)
(334.8427055376614, 196.80447632763594)
(335.25843498389526, 196.82402869487234)
(335.6325914855057, 196.8416258253851)
(335.9693323369551, 196.7574632428466)
(336.2723991032596, 196.68171691856193)
(336.5451591929336, 196.61354522670575)
(336.7906432736403, 196.55219070403518)
(336.51157894627625, 196.59697163363165)
(336.2604210516486, 196.6372744702685)
(336.03437894648374, 196.67354702324164)
(335.83094105183534, 196.70619232091747)
(336.4478469466518, 196.73557308882573)
(337.0030622519866, 196.76201577994317)
(337.50275602678795, 196.78581420194885)
(337.9524804241091, 196.80723278175395)
(338.3572323816982, 196.82650950357856)
(338.7215091435284, 196.8438585532207)
(339.14935822917556, 196.75947269789864)
(339.534422406258, 196.6835254281088)
(339.8809801656322, 196.6151728852979)
(340.19288214906896, 196.55365559676812)
(340.47359393416207, 196.49829003709132)
(340.52623454074586, 196.6484610333822)
(340.5736110866713, 196.783614930044)
(341.51624997800417, 196.7052534370396)
(342.36462498020376, 196.63472809333564)
(343.12816248218337, 196.57125528400206)
(343.81534623396504, 196.51412975560186)
(344.43381161056857, 196.46271678004166)
(345.0904304495117, 196.4164451020375)
(345.68138740456055, 196.37480059183375)
(346.2132486641045, 196.33732053265038)
(346.6919237976941, 196.30358847938535)
(346.42273141792464, 196.57322963144682)
(346.1804582761322, 196.81590666830215)
(345.962412448519, 197.03431600147192)
(347.3661712036671, 197.23088440132472)
(348.6295540833004, 197.40779596119225)
(349.76659867497034, 197.56701636507302)
(347.7899388074733, 198.61031472856573)
(346.0109449267259, 199.54928325570916)
(344.40985043405334, 200.39435493013823)
(342.96886539064803, 201.15491943712442)
(341.6719788515832, 201.839427493412)
(340.2047809664249, 202.1554847440708)
(338.8843028697824, 202.43993626966372)
(337.69587258280416, 202.69594264269733)
(336.62628532452374, 202.9263483784276)
(335.6636567920714, 203.13371354058484)
(334.9972911128642, 203.42034218652634)
(334.3975620015778, 203.6783079678737)
(333.85780580142, 203.91047717108634)
(333.372025221278, 204.11942945397772)
(332.93482269915023, 204.30748650857996)
(332.5413404292352, 204.47673785772196)
(332.1872063863117, 204.62906407194976)
(331.8684857476805, 204.7661576647548)
(331.58163717291245, 204.8895418982793)
(331.3234734556212, 205.00058770845138)
(331.09112611005907, 205.10052893760624)
(330.8820134990532, 205.19047604384562)
(330.69381214914785, 205.27142843946106)
(331.42443093423304, 205.04428559551496)
(332.08198784080975, 204.83985703596346)
(332.67378905672876, 204.65587133236713)
(333.2064101510559, 204.49028419913043)
(333.6857691359503, 204.3412557792174)
(333.91719222235525, 204.50713020129564)
(334.1254730001197, 204.65641718116606)
(334.51292570010776, 204.89077546304947)
(334.861633130097, 205.1016979167445)
(335.17546981708733, 205.29152812507007)
(335.4579228353786, 205.46237531256307)
(335.71213055184074, 205.61613778130675)
(335.94091749665665, 205.75452400317607)
(336.146825746991, 205.87907160285846)
(336.3321431722919, 205.99116444257263)
(336.49892885506273, 206.09204799831537)
(336.64903596955645, 206.18284319848382)
(336.7841323726008, 206.26455887863546)
(337.40571913534075, 206.1381029907719)
(337.96514722180666, 206.0242926916947)
(338.468632499626, 205.92186342252523)
(338.9217692496634, 205.82967708027272)
(339.32959232469705, 205.74670937224545)
(338.19663309222733, 205.8720384350209)
(337.1769697830046, 205.98483459151882)
(336.3592728047041, 206.18635113236695)
(335.6233455242337, 206.36771601913026)
(334.9610109718103, 206.53094441721723)
(334.3649098746293, 206.67784997549552)
(333.8284188871664, 206.81006497794596)
(333.34557699844976, 206.92905848015135)
(332.9110192986048, 207.13615263213623)
(332.5199173687443, 207.3225373689226)
(332.1679256318699, 207.49028363203035)
(333.4511330686829, 206.94125526882732)
(334.6060197618146, 206.4471297419446)
(335.64541778563313, 206.00241676775013)
(336.58087600706983, 205.60217509097512)
(337.4227884063628, 205.2419575818776)
(338.18050956572654, 204.91776182368986)
(339.4624586091539, 204.22598564132088)
(340.61621274823847, 203.60338707718878)
(341.6545914734146, 203.04304836946991)
(342.5891323260731, 202.53874353252291)
(343.43021909346584, 202.0848691792706)
(344.18719718411927, 201.67638226134355)
(344.06847746570736, 201.70874403520918)
(343.9616297191366, 201.73786963168826)
(343.86546674722297, 201.76408266851942)
(342.67892007250066, 201.58767440166747)
(341.6110280652506, 201.42890696150073)
(339.84992525872553, 201.18601626535064)
(338.26493273285297, 200.96741463881557)
(336.83843945956767, 200.77067317493402)
(335.5545955136109, 200.59360585744062)
(334.3991359622498, 200.43424527169657)
(332.7592223660248, 200.2908207445269)
(331.28330012942234, 200.16173867007421)
(329.9549701164801, 200.04556480306678)
(328.7594731048321, 199.9410083227601)
(325.8835257943489, 199.94690749048408)
(323.295173214914, 199.95221674143568)
(320.9656558934226, 199.9569950672921)
(318.8690903040803, 199.9612955605629)
(315.8821812736723, 199.9651660045066)
(313.19396314630507, 199.96864940405595)
(310.7745668316746, 199.97178446365035)
(308.5971101485071, 199.9746060172853)
(306.6373991336564, 199.97714541555678)
(304.77365922029077, 200.0794308740011)
(303.0962932982617, 200.171487786601)
(301.5866639684355, 200.2543390079409)
(300.22799757159197, 200.3289051071468)
(299.0051978144328, 200.3960145964321)
(296.70467803298953, 200.5564131367889)
(294.63421022969055, 200.70077182311002)
(292.7707892067215, 200.830694640799)
(291.0937102860493, 200.9476251767191)
(288.6843392574444, 201.2528626590472)
(286.51590533169997, 201.52757639314248)
(284.56431479852995, 201.77481875382824)
(282.80788331867694, 201.99733687844542)
(280.32709498680924, 202.29760319060088)
(278.0943854881283, 202.5678428715408)
(276.08494693931544, 202.8110585843867)
(274.2764522453839, 203.02995272594802)
(272.6488070208455, 203.2269574533532)
(270.2839263187609, 203.3042617080179)
(268.15553368688484, 203.3738355372161)
(266.23998031819633, 203.4364519834945)
(264.5159822863767, 203.49280678514504)
(262.26438405773905, 203.94352610663054)
(260.23794565196516, 204.34917349596748)
(258.41415108676864, 204.71425614637073)
(256.77273597809176, 205.04283053173367)
(254.4954623802826, 205.5385474785603)
(252.44591614225433, 205.98469273070427)
(250.6013245280289, 206.38622345763383)
(248.941192075226, 206.74760111187044)
(246.34707286770342, 207.3728410006834)
(244.01236558093308, 207.93555690061504)
(241.91112902283976, 208.44200121055354)
(240.0200161205558, 208.8978010894982)
(238.31801450850023, 209.30802098054838)
(235.98621305765022, 209.57721888249353)
(233.8875917518852, 209.81949699424416)
(231.99883257669669, 210.03754729481975)
(229.49894931902702, 210.13379256533779)
(227.24905438712432, 210.220413308804)
(225.22414894841188, 210.2983719779236)
(222.9017340535707, 210.56853478013124)
(220.81156064821363, 210.81168130211813)
(218.93040458339226, 211.0305131719063)
(217.23736412505303, 211.22746185471567)
(215.31362771254774, 211.7047156692441)
(213.58226494129298, 212.1342441023197)
(212.0240384471637, 212.52081969208774)
(210.62163460244733, 212.86873772287896)
(209.3594711422026, 213.18186395059107)
(207.52352402798235, 213.56367755553197)
(205.8711716251841, 213.90730979997878)
(204.3840544626657, 214.2165788199809)
(203.04564901639912, 214.4949209379828)
(201.3410841147592, 214.64542884418452)
(199.80697570328329, 214.78088595976607)
(198.42627813295496, 214.90279736378946)
(197.18365031965948, 215.01251762741052)
(195.46528528769352, 215.21126586466946)
(193.91875675892416, 215.39013927820253)
(192.52688108303175, 215.55112535038228)
(191.27419297472858, 215.69601281534406)
(189.54677367725571, 215.82641153380965)
(187.99209630953015, 215.94377038042867)
(186.59288667857714, 216.0493933423858)
(185.33359801071944, 216.14445400814722)
(184.2002382096475, 216.2300086073325)
(182.58021438868275, 216.60700774659927)
(181.12219294981446, 216.94630697193935)
(179.80997365483302, 217.25167627474542)
(178.6289762893497, 217.52650864727087)
(177.56607866041475, 217.77385778254379)
(176.20947079437326, 217.99647200428942)
(174.98852371493592, 218.19682480386047)
(173.88967134344233, 218.37714232347443)
(172.5007042090981, 218.639428091127)
(171.25063378818828, 218.8754852820143)
(170.02557040936946, 219.28793675381286)
(168.92301336843252, 219.65914307843158)
(167.93071203158928, 219.99322877058842)
(166.83764082843035, 220.29390589352957)
(165.8538767455873, 220.5645153041766)
(164.96848907102859, 220.80806377375896)
(164.17164016392573, 221.02725739638305)
(163.45447614753317, 221.22453165674474)
(162.30902853277985, 220.90207849107026)
(161.27812567950187, 220.61187064196324)
(160.35031311155169, 220.35068357776692)
(160.0152818003965, 220.81561521999024)
(159.71375362035687, 221.23405369799121)
(159.44237825832118, 221.6106483281921)
(159.19814043248905, 221.94958349537288)
(158.97832638924015, 222.25462514583558)
(158.48049375031613, 222.32916263125202)
(158.0324443752845, 222.3962463681268)
(157.62919993775606, 222.45662173131413)
(157.16627994398044, 222.6109595581827)
(156.7496519495824, 222.74986360236443)
(156.37468675462415, 222.87487724212798)
(156.03721807916173, 222.98738951791518)
(155.63349627124555, 222.98865056612365)
(155.27014664412098, 222.98978550951128)
(154.94313197970888, 222.99080695856014)
(154.648818781738, 222.99172626270413)
(154.28393690356418, 222.79255363643372)
(153.95554321320776, 222.61329827279036)
(153.659988891887, 222.4519684455113)
(153.3939900026983, 222.3067716009602)
(153.15459100242848, 222.17609444086418)
(152.93913190218564, 222.05848499677776)
(152.74521871196708, 221.9526364971)
(152.57069684077038, 221.85737284739)
(152.51362715669333, 221.771635562651)
(152.462264441024, 221.6944720063859)
(152.4160379969216, 221.6250248057473)
(152.37443419722945, 221.56252232517258)
(152.5369907775065, 221.5062700926553)
(152.68329169975584, 221.4556430833898)
(152.81496252978025, 221.4100787750508)
(152.93346627680222, 221.36907089754573)
(153.040119649122, 221.33216380779115)
(153.3361076842098, 221.29894742701202)
(153.6024969157888, 221.26905268431082)
(153.84224722420993, 221.24214741587974)
(154.25802250178893, 221.01793267429176)
(154.63222025161002, 220.8161394068626)
(154.96899822644903, 220.63452546617634)
(155.37209840380413, 220.27107291955872)
(155.7348885634237, 219.94396562760284)
(156.06139970708134, 219.64956906484255)
(156.3552597363732, 219.3846121583583)
(156.8197337627359, 219.24615094252246)
(157.2377603864623, 219.1215358482702)
(157.61398434781606, 219.0093822634432)
(157.95258591303445, 218.9084440370989)
(158.35732732173102, 218.617599633389)
(158.72159458955792, 218.3558396700501)
(159.04943513060212, 218.1202557030451)
(159.3444916175419, 217.90823013274058)
(159.61004245578772, 217.71740711946651)
(160.14903821020894, 217.64566640751985)
(160.63413438918803, 217.58109976676786)
(161.07072095026922, 217.5229897900911)
(162.2636488552423, 217.87069081108197)
(163.33728396971807, 218.18362172997377)
(164.30355557274626, 218.46525955697638)
(165.17320001547165, 218.71873360127873)
(165.95588001392449, 218.54686024115085)
(166.66029201253204, 218.39217421703577)
(167.29426281127883, 218.25295679533218)
(167.86483653015094, 218.12766111579896)
(168.37835287713585, 218.01489500421906)
(168.94051758942226, 217.21340550379716)
(169.44646583048004, 216.49206495341744)
(169.90181924743203, 215.84285845807568)
(170.31163732268882, 215.25857261226813)
(171.18047359041995, 214.73271535104132)
(171.96242623137795, 214.25944381593717)
(172.66618360824015, 213.83349943434345)
(173.29956524741613, 213.4501494909091)
(174.3696087226745, 212.80513454181818)
(175.33264785040706, 212.22462108763636)
(176.19938306536636, 211.70215897887272)
(177.47944475882971, 211.03194308098546)
(178.63150028294675, 210.4287487728869)
(179.66835025465207, 209.88587389559822)
(180.60151522918687, 209.3972865060384)
(181.8413637062682, 209.05755785543457)
(182.9572273356414, 208.7518020698911)
(183.96150460207724, 208.476621862902)
(185.4653541418695, 207.92895967661178)
(186.81881872768255, 207.4360637089506)
(188.0369368549143, 206.99245733805554)
(189.13324316942288, 206.59321160425)
(190.6199188524806, 206.033890443825)
(191.95792696723254, 205.5305013994425)
(193.66213427050928, 204.47745125949825)
(195.19592084345837, 203.52970613354842)
(196.57632875911253, 202.67673552019357)
(197.8186958832013, 201.90906196817423)
(199.13682629488116, 200.8181557713568)
(200.32314366539305, 199.83634019422112)
(201.39082929885373, 198.952706174799)
(202.35174636896835, 198.1574355573191)
(203.8165717320715, 196.74169200158718)
(205.13491455886435, 195.46752280142846)
(206.32142310297792, 194.32077052128562)
(207.38928079268013, 193.28869346915707)
(208.35035271341212, 192.35982412224135)
(209.2153174420709, 191.52384171001722)
(210.7937856978638, 190.3714575390155)
(212.21440712807743, 189.33431178511395)
(213.49296641526968, 188.40088060660256)
(214.64366977374272, 187.5607925459423)
(216.47930279636844, 186.30471329134807)
(218.1313725167316, 185.17424196221327)
(219.61823526505844, 184.15681776599195)
(220.9564117385526, 183.24113598939275)
(222.76077056469734, 181.91702239045347)
(224.3846935082276, 180.7253201514081)
(225.84622415740483, 179.6527881362673)
(227.16160174166436, 178.68750932264058)
(228.34544156749791, 177.81875839037653)
(230.21089741074812, 176.83688255133887)
(231.8898076696733, 175.953194296205)
(233.40082690270597, 175.1578748665845)
(234.76074421243538, 174.44208737992605)
(237.18466979119185, 173.79787864193344)
(239.36620281207266, 173.2180907777401)
(241.3295825308654, 172.69628169996608)
(243.09662427777886, 172.22665352996947)
(245.08696185000096, 171.40398817697252)
(246.87826566500087, 170.66358935927528)
(248.4904390985008, 169.99723042334776)
(249.94139518865072, 169.39750738101299)
(251.24725566978566, 168.85775664291168)
(252.4225301028071, 168.3719809786205)
(254.28027709252638, 168.33478288075847)
(255.95224938327374, 168.3013045926826)
(257.45702444494634, 168.27117413341435)
(258.8113220004517, 168.2440567200729)
(260.0301898004065, 168.2196510480656)
(262.0271708203659, 168.39768594325903)
(263.8244537383293, 168.55791734893313)
(265.44200836449636, 168.70212561403983)
(266.8978075280467, 168.83191305263585)
(268.20802677524205, 168.94872174737228)
(269.58722409771786, 167.15384957263504)
(270.8285016879461, 165.53846461537154)
(271.94565151915145, 164.08461815383438)
(272.9510863672363, 162.77615633845096)
(274.4559777305127, 161.79854070460587)
(275.8103799574614, 160.91868663414527)
(277.02934196171526, 160.12681797073074)
(278.1264077655437, 159.41413617365765)
(279.11376698898937, 158.77272255629188)
(280.7023902900904, 158.3954503006627)
(282.1321512610814, 158.05590527059644)
(283.41893613497325, 157.7503147435368)
(284.5770425214759, 157.4752832691831)
(286.31933826932834, 157.2277549422648)
(287.8874044423955, 157.0049794480383)
(289.298663998156, 156.80448150323448)
(290.5687975983404, 156.62403335291103)
(291.81191783850636, 156.06163001761993)
(292.93072605465574, 155.55546701585794)
(293.9376534491902, 155.09992031427214)
(294.8438881042712, 154.68992828284493)
(295.6594992938441, 154.32093545456044)
(296.69354936445967, 153.7888419091044)
(297.6241944280137, 153.30995771819397)
(298.46177498521234, 152.87896194637457)
(299.8155974866911, 152.39106575173713)
(301.034037738022, 151.9519591765634)
(302.1306339642198, 151.55676325890707)
(303.1175705677978, 151.20108693301637)
(304.00581351101806, 150.88097823971472)
(304.8052321599163, 150.59288041574325)
(305.62470894392465, 150.43359237416894)
(306.36223804953215, 150.29023313675205)
(307.02601424457896, 150.16120982307683)
(308.02341282012105, 150.44508884076916)
(308.92107153810895, 150.70057995669225)
(309.728964384298, 150.93052196102303)
(310.4560679458682, 151.13746976492072)
(311.11046115128136, 151.32372278842865)
(311.89941503615324, 151.79135050958578)
(312.6094735325379, 152.2122154586272)
(313.5485261792841, 152.7909939127645)
(314.39367356135574, 153.31189452148806)
(315.15430620522017, 153.78070506933926)
(315.83887558469814, 154.20263456240534)
(316.65498802622835, 154.9823711061648)
(317.3894892236055, 155.68413399554834)
(318.05054030124495, 156.3157205959935)
(318.64548627112043, 156.88414853639415)
(319.2809376440084, 157.49573368275475)
(319.8528438796076, 158.04616031447927)
(320.36755949164683, 158.54154428303133)
(320.83080354248216, 158.9873898547282)
(321.2477231882339, 159.3886508692554)
(321.92295086941056, 160.24978578232987)
(322.5306557824695, 161.02480720409687)
(323.17759020422255, 161.9223264836872)
(323.7598311838003, 162.73009383531846)
(324.2838480654203, 163.4570844517866)
(324.75546325887825, 164.11137600660794)
(325.27991693299043, 165.00023840594716)
(325.7519252396914, 165.80021456535243)
(326.17673271572227, 166.52019310881718)
(326.55905944415, 167.16817379793545)
(326.903153499735, 167.7513564181419)
(327.51283814976154, 168.97622077632772)
(328.0615543347854, 170.07859869869495)
(328.55539890130683, 171.07073882882545)
(328.99985901117617, 171.96366494594292)
(329.5998731100585, 173.36729845134863)
(330.13988579905265, 174.63056860621376)
(330.62589721914736, 175.76751174559237)
(331.06330749723264, 176.79076057103313)
(331.4569767475094, 177.7116845139298)
(331.81127907275845, 178.54051606253682)
(332.3301511654826, 179.88646445628314)
(332.79713604893436, 181.09781801065483)
(333.21742244404095, 182.18803620958934)
(333.7956801996369, 183.8692325886304)
(334.3161121796732, 185.38230932976737)
(334.7845009617059, 186.74407839679063)
(335.2060508655353, 187.96967055711156)
(335.6854457789818, 189.2727035014004)
(336.1169012010836, 190.44543315126037)
(336.50521108097524, 191.50088983613435)
(336.85468997287774, 192.4508008525209)
(337.16922097558995, 193.3057207672688)
(337.95229887803094, 194.77514869054193)
(338.65706899022786, 196.09763382148773)
(339.2913620912051, 197.28787043933897)
(339.8622258820846, 198.35908339540507)
(340.27600329387616, 199.22317505586454)
(340.6484029644885, 200.00085755027808)
(340.98356266803967, 200.70077179525026)
(341.2852064012357, 201.33069461572524)
(341.55668576111213, 201.8976251541527)
(341.80101718500094, 202.40786263873744)
(342.22091546650086, 203.0670763748637)
(342.59882391985076, 203.66036873737733)
(342.93894152786567, 204.1943318636396)
(343.2450473750791, 204.67489867727565)
(343.8205426375712, 205.4074088095481)
(344.3384883738141, 206.0666679285933)
(344.80463953643266, 206.66000113573395)
(345.22417558278937, 207.19400102216056)
(345.7017580245104, 207.6746009199445)
(346.13158222205936, 208.10714082795005)
(346.51842399985344, 208.49642674515505)
(346.8665815998681, 208.84678407063956)
(347.07992343988127, 209.1621056635756)
(347.27193109589314, 209.44589509721806)
(347.44473798630383, 209.70130558749625)
(347.6002641876735, 209.93117502874662)
(347.7402377689061, 210.13805752587197)
(347.8662139920155, 210.32425177328477)
(347.97959259281396, 210.4918265959563)
(348.0816333335326, 210.64264393636066)
(348.17347000017935, 210.7783795427246)
(348.25612300016144, 210.90054158845214)
(348.7305107001453, 211.21048742960693)
(349.1574596301308, 211.48943868664622)
(349.54171366711773, 211.7404948179816)
(349.887542300406, 211.96644533618345)
(350.0987880703654, 211.96980080256512)
(350.28890926332883, 211.9728207223086)
(350.460018336996, 211.97553865007774)
(350.8140165032964, 212.07798478506996)
(351.13261485296675, 212.17018630656295)
(351.41935336767006, 212.25316767590667)
(351.677418030903, 212.327850908316)
(351.9096762278127, 212.3950658174844)
(352.11870860503143, 212.45555923573596)
(352.3068377445283, 212.51000331216235)
(352.4761539700755, 212.5590029809461)
(352.62853857306794, 212.6031026828515)
(352.76568471576115, 212.64279241456634)
(352.489116244185, 212.2785131731097)
(352.24020461976653, 211.95066185579873)
(352.0161841577899, 211.65559567021884)
(351.8145657420109, 211.39003610319696)
(351.63310916780983, 211.25103249287727)
(351.46979825102886, 211.12592924358955)
(351.32281842592596, 211.0133363192306)
(351.19053658333337, 210.91200268730753)
(351.07148292500005, 210.8208024185768)
(350.56433463250005, 210.53872217671912)
(350.10790116925006, 210.28484995904722)
(349.69711105232506, 210.0563649631425)
(349.32739994709254, 209.85072846682826)
(348.59465995238327, 209.86565562014545)
(347.9351939571449, 209.8790900581309)
(347.3416745614304, 209.89118105231782)
(346.7075071052874, 209.80206294708603)
(346.13675639475866, 209.72185665237743)
(345.6230807552828, 209.64967098713967)
(345.16077267975453, 209.5847038884257)
(344.74469541177905, 209.52623349958313)
(343.47022587060115, 209.47361014962482)
(342.32320328354103, 209.42624913466233)
(341.29088295518693, 209.3836242211961)
(340.4617946596682, 209.2452617990765)
(339.7156151937014, 209.12073561916884)
(338.44405367433126, 208.70866205725196)
(337.2996483068981, 208.33779585152675)
(336.2696834762083, 208.00401626637407)
(335.34271512858743, 207.70361463973666)
(334.5084436157287, 207.43325317576299)
(333.55759925415583, 207.18992785818668)
(332.7018393287402, 206.970935072368)
(331.9316553958662, 206.7738415651312)
(331.23848985627956, 206.59645740861808)
(330.6146408706516, 206.43681166775627)
(329.25317678358647, 206.19313050098066)
(328.02785910522783, 205.9738174508826)
(326.9250731947051, 205.77643570579434)
(325.93256587523456, 205.59879213521492)
(325.0393092877111, 205.43891292169343)
(323.33537835894, 205.2950216295241)
(321.801840523046, 205.16551946657168)
(319.6216564707414, 205.14896751991452)
(317.6594908236673, 205.13407076792308)
(315.89354174130057, 205.12066369113077)
(314.3041875671705, 205.1085973220177)
(312.87376881045344, 205.09773758981592)
(311.5863919294081, 205.08796383083433)
(309.92775273646726, 204.97916744775088)
(308.43497746282054, 204.8812507029758)
(307.0914797165385, 204.7931256326782)
(305.18233174488466, 204.61381306941038)
(303.4640985703962, 204.45243176246936)
(301.91768871335654, 204.30718858622242)
(299.6259198420209, 204.07646972760017)
(297.5633278578188, 203.86882275484015)
(295.70699507203693, 203.68194047935614)
(294.03629556483327, 203.51374643142054)
(292.53266600834996, 203.3623717882785)
(290.67939940751495, 203.32613460945063)
(289.0114594667634, 203.29352114850556)
(287.5103135200871, 203.264169033655)
(285.4592821680784, 203.33775213028952)
(283.61335395127054, 203.40397691726056)
(281.95201855614346, 203.46357922553452)
(280.4568167005291, 203.51722130298106)
(279.1111350304762, 203.56549917268296)
(277.30002152742856, 203.80894925541466)
(275.6700193746857, 204.02805432987319)
(273.60301743721715, 204.02524889688587)
(271.7427156934954, 204.02272400719727)
(270.0684441241459, 204.02045160647754)
(268.56159971173133, 204.01840644582978)
(266.9054397405582, 204.21656580124682)
(265.4148957665024, 204.39490922112213)
(264.07340618985216, 204.55541829900992)
(262.26606557086694, 204.69987646910891)
(260.63945901378025, 204.82988882219803)
(259.1755131124022, 204.94689993997824)
(257.857961801162, 205.05220994598042)
(256.1721656210458, 205.24698895138238)
(254.6549490589412, 205.42229005624415)
(253.2894541530471, 205.58006105061975)
(252.0605087377424, 205.72205494555777)
(250.95445786396814, 205.849849451002)
(249.25901207757133, 205.8648645059018)
(247.7331108698142, 205.87837805531163)
(246.35979978283277, 205.89054024978046)
(245.1238198045495, 205.9014862248024)
(244.01143782409454, 205.91133760232216)
(242.01029404168509, 206.12020384208995)
(240.20926463751658, 206.30818345788094)
(238.58833817376492, 206.47736511209285)
(237.12950435638842, 206.62962860088356)
(235.81655392074958, 206.76666574079522)
(234.63489852867463, 206.8899991667157)
(233.57140867580716, 207.00099925004415)
(231.91426780822644, 207.30089932503972)
(230.4228410274038, 207.57080939253575)
(229.08055692466343, 207.81372845328218)
(227.8725012321971, 208.03235560795397)
(225.9852511089774, 208.22912004715857)
(224.28672599807965, 208.40620804244273)
(222.75805339827167, 208.56558723819845)
(221.3822480584445, 208.7090285143786)
(219.54402325260006, 208.93812566294073)
(217.88962092734005, 209.14431309664667)
